index,headline,source_url,publish_date,publisher,crawl_type
48,Authorities must put people's health first in fight against coronavirus: China Daily,https://www.straitstimes.com/asia/authorities-must-put-peoples-health-first-in-fight-against-coronavirus-china-daily,22/01/2020 09:30,The Straits Times,auto
49,China health officials warn Wuhan virus outbreak will grow; no super-spreader detected yet,https://www.straitstimes.com/asia/east-asia/china-warns-wuhan-virus-may-spread-as-death-toll-hits-9,22/01/2020 10:31,The Straits Times,auto
50,"China biotech, drug firms warn of risks as their shares jump on virus-linked buying",https://www.straitstimes.com/business/companies-markets/china-biotech-drug-firms-warn-of-risks-as-stocks-surge-on-virus-linked,22/01/2020 10:34,The Straits Times,auto
51,"As Wuhan virus spreads, economists warn of potential threat to China's economy",https://www.straitstimes.com/business/economy/as-wuhan-virus-spreads-economists-warn-on-potential-threat-to-chinas-economy,22/01/2020 10:42,The Straits Times,auto
52,Wuhan virus: Apple-supplier Foxconn tells Wuhan employees in Taiwan for Chinese New Year to stay back,https://www.straitstimes.com/asia/east-asia/wuhan-virus-apple-supplier-foxconn-tells-wuhan-employees-in-taiwan-for-lunar-new-year,22/01/2020 11:01,The Straits Times,auto
53,Wuhan virus: China says new virus adapting and mutating,https://www.straitstimes.com/asia/east-asia/wuhan-virus-china-says-new-virus-adapting-and-mutating,22/01/2020 11:36,The Straits Times,auto
54,"Wuhan virus: Macau confirms one case, orders casino staff to mask up",https://www.straitstimes.com/asia/east-asia/wuhan-virus-macau-confirms-1-case-and-orders-casino-staff-to-mask-up,22/01/2020 12:08,The Straits Times,auto
55,Wuhan virus: Taiwan calls on China to share 'correct' virus information,https://www.straitstimes.com/asia/east-asia/taiwan-calls-on-china-to-share-correct-virus-information,22/01/2020 12:43,The Straits Times,auto
56,Wuhan virus adds to Hong Kong's economic woes,https://www.straitstimes.com/business/economy/wuhan-virus-adds-to-hong-kongs-economic-woes,22/01/2020 13:05,The Straits Times,auto
57,Thailand finds fourth Wuhan virus infection case,https://www.straitstimes.com/asia/se-asia/thailand-finds-fourth-wuhan-virus-infection,22/01/2020 13:28,The Straits Times,auto
58,How airlines and airports are dealing with Wuhan virus,https://www.straitstimes.com/asia/east-asia/how-airlines-and-airports-are-dealing-with-wuhan-virus,22/01/2020 13:35,The Straits Times,auto
59,Testing rules out Chinese virus in Australian case,https://www.straitstimes.com/asia/australianz/testing-rules-out-chinese-virus-in-australian-case,22/01/2020 13:58,The Straits Times,auto
60,Wuhan virus: Japanese shop's 'No Chinese allowed' sign provokes netizens to call for boycott,https://www.straitstimes.com/asia/east-asia/wuhan-virus-japanese-shops-no-chinese-allowed-sign-provokes-netizens-to-call-for,22/01/2020 16:17,The Straits Times,auto
61,"The Big Story: China's plan to combat spread of Wuhan virus, no-trial CCA pilot study, cashless hongbaos for CNY",https://www.straitstimes.com/multimedia/the-big-story-chinas-plan-to-combat-spread-of-wuhan-virus-no-trial-cca-pilot-study,22/01/2020 17:25,The Straits Times,auto
62,Wuhan virus: MOH sets up multi-ministry task force,https://www.straitstimes.com/singapore/health/wuhan-virus-3-more-suspected-cases-in-singapore-avoid-non-essential-travel-to-wuhan,22/01/2020 17:31,The Straits Times,auto
63,Man quarantined after Hong Kong’s first preliminary positive test for Wuhan virus,https://www.straitstimes.com/asia/east-asia/hong-kong-confirms-first-case-of-new-wuhan-virus-local-media,22/01/2020 17:36,The Straits Times,auto
