index,headline,source_url,publish_date,publisher,crawl_type
48,US confirms first case of Wuhan virus on American soil,https://www.channelnewsasia.com/news/world/us-first-case-wuhan-virus-american-soil-pneumonia-12298654,22/01/2020 03:31,Channel News Asia,auto
49,US stocks fall as virus fears hit travel shares,https://www.channelnewsasia.com/news/business/us-stocks-fall-as-virus-fears-hit-travel-shares-12298904,22/01/2020 05:32,Channel News Asia,auto
50,Cathay Pacific to allow cabin crew to wear masks on mainland China flights due to virus,https://www.channelnewsasia.com/news/asia/cathay-cabin-crew-ask-wear-face-masks-flights-china-virus-wuhan-12299388,22/01/2020 09:01,Channel News Asia,auto
51,"Wuhan virus: Number of cases soars past 400 in China, death toll rises to 9",https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumonia-deaths-number-cases-china-12299846,22/01/2020 10:28,Channel News Asia,auto
52,Apple-supplier Foxconn tells employees not to visit China over holiday amid concerns over Wuhan virus,https://www.channelnewsasia.com/news/asia/wuhan-virus-foxconn-gou-advises-employees-china-holiday-12300034,22/01/2020 10:46,Channel News Asia,auto
53,China takes more measures to protect healthcare workers in Wuhan virus outbreak,https://www.channelnewsasia.com/news/asia/wuhan-virus-china-takes-more-measures-protect-healthcare-workers-12300124,22/01/2020 11:03,Channel News Asia,auto
54,China warns Wuhan virus could mutate and spread as death toll rises,https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumonia-china-warns-could-mutate-spread-death-12300192,22/01/2020 11:20,Channel News Asia,auto
55,Wuhan virus compounds Hong Kong's economic woes,https://www.channelnewsasia.com/news/asia/wuhan-virus-hong-kong-protests-economic-woes-12300560,22/01/2020 11:40,Channel News Asia,auto
56,North Korea to ban tourists over Wuhan virus: Tour operator,https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumonia-north-korea-ban-tourists-china-12300672,22/01/2020 11:50,Channel News Asia,auto
57,Commentary: The Wuhan virus clock is running down on scientists,https://www.channelnewsasia.com/news/commentary/wuhan-virus-science-research-mers-sars-pneumonia-signs-prevent-12300682,22/01/2020 12:10,Channel News Asia,auto
58,Wuhan urges people to stay away in bid to contain China virus,https://www.channelnewsasia.com/news/asia/wuhan-virus-city-urges-people-to-stay-away-contain-pneumonia-12301168,22/01/2020 13:16,Channel News Asia,auto
59,Olympic boxing qualifiers set for Wuhan nixed over health fears: Media,https://www.channelnewsasia.com/news/sport/olympics-boxing-qualifiers-wuhan-nixed-pneumonia-virus-fears-12301210,22/01/2020 13:30,Channel News Asia,auto
60,Tsai urges WHO to include Taiwan after Wuhan virus case confirmed,https://www.channelnewsasia.com/news/asia/wuhan-virus-taiwan-urges-who-include-country-12301370,22/01/2020 15:06,Channel News Asia,auto
61,Wuhan virus: 2 more cases confirmed in Thailand,https://www.channelnewsasia.com/news/asia/wuhan-virus-china-two-more-cases-found-thailand-12301606,22/01/2020 16:10,Channel News Asia,auto
62,"Singapore forms Wuhan virus ministerial task force, imported case 'inevitable': Gan Kim Yong",https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-ministerial-task-force-inevitable-12301610,22/01/2020 17:46,Channel News Asia,auto
63,Man quarantined after Hong Kong's first preliminary positive test for Wuhan virus,https://www.channelnewsasia.com/news/asia/man-quarantined-after-hong-kong-s-first-preliminary-positive-12302346,22/01/2020 18:13,Channel News Asia,auto
64,"Masks, disinfectants in low supply as China virus spreads",https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumonia-supply-low-masks-disinfectants-12303032,22/01/2020 19:29,Channel News Asia,auto
