"Title (From 1 Jan 2020, 12:00AM to 6 Feb 2020, 5:56 PM)",Source Link,Time of the post,Source Name
"Wuhan virus: PM Lee Hsien Loong calls for calm, urges public not to spread rumours",https://www.straitstimes.com/singapore/wuhan-virus-pm-lee-calls-for-calm-urges-public-not-to-spread-rumours,"JAN 28, 2020, 7:33 PM",The Straits Times
Govt debunks fake news linking closure of Woodlands MRT station to Wuhan virus,https://www.straitstimes.com/singapore/health/wuhan-virus-government-debunks-fake-news-linking-closure-of-woodlands-mrt-to-the,"JAN 28, 2020, 7:45 PM",The Straits Times
Wuhan virus: Fig leaf or first defence? Flimsy masks of limited use,https://www.straitstimes.com/asia/se-asia/wuhan-virus-fig-leaf-or-first-defence-flimsy-masks-of-limited-use,"JAN 28, 2020, 5:40 PM",The Straits Times
"Supply of masks in Singapore sufficient, no need to rush to buy them: Lam Pin Min",https://www.straitstimes.com/singapore/supply-of-masks-in-singapore-sufficient-no-need-to-rush-to-buy-them-lam-pin-min,"JAN 28, 2020, 8:20 PM",The Straits Times
Wuhan virus: $100 a day for those quarantined; severe penalties for people who flout quarantine orders,https://www.straitstimes.com/singapore/health/100-a-day-for-those-quarantined-severe-penalties-for-people-who-flout-quarantine,"JAN 28, 2020, 7:47 PM",The Straits Times
"Wuhan virus: WP, SDP, PSP warn about rumours, call on Singaporeans to stay united",https://www.straitstimes.com/singapore/health/workers-party-calls-for-singapore-to-stay-united-and-to-remain-calm-amid-global,"JAN 28, 2020, 9:23 PM",The Straits Times
Wuhan virus: Taiwan reports first case of domestic coronavirus transmission,https://www.straitstimes.com/asia/east-asia/wuhan-virus-taiwan-reports-first-case-of-domestic-coronavirus-transmission,"JAN 28, 2020, 9:22 PM",The Straits Times
"Wuhan virus: NSmen who travelled to China will have ICT deferred, IPPT rescheduled",https://www.straitstimes.com/singapore/health/wuhan-virus-nsmen-who-travelled-to-china-will-have-ict-deferred-ippt-rescheduled,"JAN 28, 2020, 10:18 PM",The Straits Times
Wuhan virus: Singapore's tourism sector preparing for crisis,https://www.straitstimes.com/singapore/wuhan-virus-singapores-tourism-sector-preparing-for-crisis,"JAN 28, 2020, 10:16 PM",The Straits Times
Wuhan virus: MOM to reject all new work pass applications for foreign workers from Hubei,https://www.straitstimes.com/singapore/health/wuhan-virus-mom-to-reject-all-new-work-pass-applications-for-foreign-workers-from,"JAN 28, 2020, 8:19 PM",The Straits Times
Wuhan virus: China agrees to WHO sending experts to study virus,https://www.straitstimes.com/asia/east-asia/wuhan-virus-china-agrees-to-who-sending-experts-to-study-virus,"JAN 29, 2020, 1:52 AM",The Straits Times
Wuhan virus: Malaysians' call for ban on tourists from China takes on racial tone,https://www.straitstimes.com/asia/se-asia/wuhan-virus-malaysians-call-for-ban-on-tourists-from-china-take-racial-tone,"JAN 28, 2020, 7:14 PM",The Straits Times
"Wuhan virus: Death toll in China hits 132, number of cases nearing 6,000",https://www.straitstimes.com/asia/east-asia/wuhan-virus-chinas-hubei-province-centre-of-coronavirus-outbreak-confirms-25-new,"JAN 29, 2020, 7:25 AM",The Straits Times
"Wuhan virus: Malaysia says 3 new cases of virus infection, bringing total to 7",https://www.straitstimes.com/asia/se-asia/wuhan-virus-malaysia-says-3-new-cases-of-virus-infection-bringing-total-to-7,"JAN 29, 2020, 8:16 AM",The Straits Times
"CapitaLand, more Singapore companies suspend some businesses in China amid Wuhan virus spread",https://www.straitstimes.com/business/companies-markets/capitaland-more-singapore-companies-close-businesses-in-china-amid-wuhan,"JAN 29, 2020, 8:57 AM",The Straits Times
Wuhan virus: Malaysia arrests person for spreading fake news about coronavirus,https://www.straitstimes.com/asia/se-asia/wuhan-virus-malaysia-arrests-person-for-spreading-fake-news-about-coronavirus,"JAN 29, 2020, 9:24 AM",The Straits Times
"Wuhan virus: President Halimah urges public not to spread rumours, and to use MOH info to quash falsehoods",https://www.straitstimes.com/singapore/wuhan-virus-do-not-spread-rumours-and-use-moh-information-to-quash-falsehoods-says,"JAN 29, 2020, 8:35 AM",The Straits Times
Wuhan virus: Crisis exposes cracks in China's facade of unity,https://www.straitstimes.com/asia/east-asia/wuhan-virus-crisis-exposes-cracks-in-chinas-facade-of-unity,"JAN 29, 2020, 6:58 AM",The Straits Times
"Wuhan virus: Experts consulted in decision not to delay schools' reopening after Chinese New Year break, says MOE",https://www.straitstimes.com/singapore/education/wuhan-virus-experts-consulted-in-decision-not-to-delay-schools-reopening-after,"JAN 29, 2020, 1:20 PM",The Straits Times
Wuhan virus: JJ Lin and Stefanie Sun collaborate on song to pay tribute to frontline staff,https://www.straitstimes.com/lifestyle/entertainment/wuhan-virus-jj-lin-and-stefanie-sun-collaborate-on-song-to-pay-tribute-to,"JAN 29, 2020, 1:00 PM",The Straits Times
Wuhan virus: S’pore Slingers taking precautions as they head to HK; safety first for other sports like table tennis too,https://www.straitstimes.com/sport/wuhan-virus-singapore-basketball-team-taking-precautions-as-they-head-to-hong-kong,"JAN 29, 2020, 11:56 AM",The Straits Times
"Online mall Qoo10 removes listing selling 30 'anti-coronavirus' masks for $10,000",https://www.straitstimes.com/singapore/online-mall-qoo10-removes-listing-selling-30-anti-coronavirus-masks-for-10000,"JAN 29, 2020, 3:35 PM",The Straits Times
"Wuhan virus: No hot meals, blankets, magazines as airlines step up fight against virus",https://www.straitstimes.com/asia/east-asia/wuhan-virus-no-hot-meals-blankets-magazines-as-airlines-step-up-fight-on-virus,"JAN 29, 2020, 2:44 PM",The Straits Times
Wuhan virus: Containment measures spur recruitment drives for freelance healthcare workers,https://www.straitstimes.com/singapore/wuhan-virus-containment-measures-spur-recruitment-drives-for-freelance-healthcare-workers,"JAN 29, 2020, 4:17 PM",The Straits Times
Mop house twice with disinfectant: NEA releases interim guide on cleaning homes exposed to Wuhan virus,https://www.straitstimes.com/singapore/health/mop-house-twice-with-disinfectant-nea-releases-interim-guide-on-cleaning-homes,"JAN 29, 2020, 5:15 PM",The Straits Times
"Firms advised to defer China trips, avoid Hubei",https://www.straitstimes.com/business/companies-markets/firms-advised-to-defer-china-trips-avoid-hubei,"JAN 29, 2020, 5:53 PM",The Straits Times
"Singapore confirms 3 more Wuhan virus cases, bringing total to 10; all are from Wuhan",https://www.straitstimes.com/singapore/singapore-confirms-3-more-wuhan-virus-cases-bringing-total-to-10-all-are-from-wuhan,"JAN 29, 2020, 7:27 PM",The Straits Times
"Wuhan virus: 200 pre-school, eldercare staff who travelled to China required to take leave of absence",https://www.straitstimes.com/singapore/wuhan-virus-200-pcf-staff-who-travelled-to-china-required-to-take-leave-of-absence,"JAN 29, 2020, 6:02 PM",The Straits Times
"Wuhan virus: No more overnight stay for SIA pilots and cabin crew on flights to Beijing, Shanghai",https://www.straitstimes.com/singapore/health/no-more-overnight-stay-for-sia-pilots-and-cabin-crew-on-flights-to-beijing-and,"JAN 29, 2020, 9:17 PM",The Straits Times
Wuhan virus: All-out effort by China to contain outbreak after sluggish initial response,https://www.straitstimes.com/asia/east-asia/all-out-effort-by-china-to-contain-outbreak-after-sluggish-initial-response,"JAN 27, 2020, 5:00 AM",The Straits Times
Wuhan virus: Experts urge caution over calls for blanket ban on Chinese travellers,https://www.straitstimes.com/singapore/health/experts-urge-caution-over-calls-for-blanket-ban-on-chinese-travellers,"JAN 29, 2020, 8:53 PM",The Straits Times
Wuhan virus fears put squeeze on travel sector,https://www.sgsme.sg/news/wuhan-virus-fears-put-squeeze-travel-sector,"JAN 29, 2020, 5:50 AM",The Straits Times
Wuhan virus: Planeload of Wuhan residents leaves Singapore on Wednesday on Scoot flight,https://www.straitstimes.com/singapore/planeload-of-wuhan-residents-leaves-singapore-on-wednesday-on-scoot-flight,"JAN 29, 2020, 11:08 PM",The Straits Times
Wuhan virus: WHO to reconsider declaring global emergency as China virus evacuations begin,https://www.straitstimes.com/world/europe/wuhan-virus-who-panel-to-reconvene-on-thursday-to-decide-if-virus-global-emergency,"JAN 30, 2020, 12:03 AM",The Straits Times
"Wuhan virus: Deaths in China hit 170, biggest single-day jump",https://www.straitstimes.com/asia/east-asia/china-virus-evacuations-begin-as-death-toll-hits-162-in-hubei,"JAN 30, 2020, 7:21 AM",The Straits Times
Wuhan virus: McDonald's closes all branches in virus-hit Chinese province of Hubei,https://www.straitstimes.com/asia/east-asia/wuhan-virus-mcdonalds-closes-all-branches-in-virus-hit-chinese-province-of-hubei,"JAN 30, 2020, 12:58 AM",The Straits Times
"Wuhan virus: Three Japanese evacuated from China infected; 13 other evacuees show symptoms of fever, cough",https://www.straitstimes.com/asia/east-asia/wuhan-virus-three-japanese-evacuated-from-china-infected-nine-evacuees-show-symptoms,"JAN 30, 2020, 9:03 AM",The Straits Times
"Wuhan virus: Isolated cubicles, home quarantine at some workplaces",https://www.straitstimes.com/business/companies-markets/wuhan-virus-isolated-cubicles-home-quarantine-at-some-workplaces,"JAN 30, 2020, 5:00 AM",The Straits Times
"Wuhan virus: Travellers between Singapore, Malaysia worry about lack of screening at Johor checkpoints",https://www.straitstimes.com/asia/se-asia/wuhan-virus-people-travelling-between-singapore-malaysia-worry-about-lack-of-screening,"JAN 30, 2020, 11:50 AM",The Straits Times
