index,headline,source_url,publish_date,publisher
90,"China says 27 foreigners in the country have been infected with coronavirus, 2 dead",https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-china-foreigners-12418146,10-02-2020 19:51:39,Channel News Asia
91,"Singapore Airlines, SilkAir suspend some flights to China over coronavirus outbreak",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-airlines-sia-silkair-suspend-flights-12417984,10-02-2020 19:40:47,Channel News Asia
92,Sarawak enforces 14-day home quarantine rule for travellers from Singapore,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-sarawak-quarantine-singapore-12418054,10-02-2020 19:16:05,Channel News Asia
93,Attendance at Victoria Junior College 'very normal' despite coronavirus situation: Ong Ye Kung,https://www.channelnewsasia.com/news/singapore/coronavirus-victoria-junior-college-ong-ye-kung-visit-12417856,10-02-2020 18:31:49,Channel News Asia
94,"Taxi, private-hire drivers to get 300,000 masks for passengers amid coronavirus fears",https://www.channelnewsasia.com/news/singapore/coronavirus-taxi-private-hire-drivers-300000-masks-passengers-12416554,10-02-2020 17:22:13,Channel News Asia
95,Malaysian government mulling stimulus package as coronavirus outbreak takes toll on economy,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-malaysia-stimulus-package-mahathir-guan-eng-12417728,10-02-2020 17:14:28,Channel News Asia
96,Coronavirus chaos ravages Asia's sporting calendar,https://www.channelnewsasia.com/news/sport/coronavirus-chaos-ravages-asia-s-sporting-calendar-12417710,10-02-2020 17:01:34,Channel News Asia
97,More than 180 police officers deployed at quarantine facilities across Singapore,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-quarantine-facilities-singapore-police-officer-12417732,10-02-2020 17:01:07,Channel News Asia
98,UK declares coronavirus a serious and imminent threat to public health,https://www.channelnewsasia.com/news/world/wuhan-virus-coronavirus-uk-serious-imminent-threat-12417612,10-02-2020 16:14:57,Channel News Asia
99,"Kuwait, Qatar issue travel advisories for Singapore, urge citizens to defer travel plans",https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-kuwait-qatar-travel-advisory-12417074,10-02-2020 14:59:16,Channel News Asia
100,Coronavirus transforms daily life on Hong Kong's fearful streets,https://www.channelnewsasia.com/news/asia/coronavirus-transforms-daily-life-on-hong-kong-s-fearful-streets-12417150,10-02-2020 14:44:17,Channel News Asia
101,66 more people found to have coronavirus on Diamond Princess cruise ship in Japan,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-japan-cruise-ship-diamond-princess-12416970,10-02-2020 13:45:23,Channel News Asia
102,Novel coronavirus in Singapore: What we know about the patients who have fully recovered,https://www.channelnewsasia.com/news/singapore/coronavirus-singapore-fully-recovered-patients-list-12416232,10-02-2020 11:47:09,Channel News Asia
103,"Coronavirus cases outside China 'could be spark' for bigger fire, says WHO",https://www.channelnewsasia.com/news/asia/coronavirus-cases-outside-china-could-be-spark-for-bigger-fire-12416398,10-02-2020 11:20:38,Channel News Asia
104,HSBC Women's golf in Singapore cancelled because of coronavirus,https://www.channelnewsasia.com/news/sport/wuhan-virus-hsbc-womens-golf-cancelled-12416324,10-02-2020 11:14:26,Channel News Asia
105,China stutters back to work as coronavirus deaths soar,https://www.channelnewsasia.com/news/asia/china-stutters-back-to-work-as-coronavirus-deaths-soar-12416234,10-02-2020 10:56:35,Channel News Asia
106,"Malaysia confirms sixth citizen case of coronavirus, man worked in Macau before coming home unwell",https://www.channelnewsasia.com/news/asia/coronavirus-malaysia-confirms-sixth-citizen-case-macau-12415998,10-02-2020 10:11:39,Channel News Asia
107,China coronavirus death toll surpasses 900,https://www.channelnewsasia.com/news/asia/wuhan-virus-china-death-toll-12415512,10-02-2020 07:19:41,Channel News Asia
108,Commentary: Novel coronavirus outbreak weighs heavily on global economy,https://www.channelnewsasia.com/news/commentary/novel-coronavirus-impact-businesses-global-economy-chains-12412560,10-02-2020 06:28:52,Channel News Asia
109,Nine members of Hong Kong family get virus after 'hotpot meal': Officials,https://www.channelnewsasia.com/news/asia/nine-members-of-hong-kong-family-get-virus-after-hotpot-meal-12413460,10-02-2020 05:20:00,Channel News Asia
110,Bangladesh aircrew refuse to work on Wuhan evacuation flight,https://www.channelnewsasia.com/news/asia/wuhan-virus-bangladesh-flight-refuse-work-evacuation-12413616,10-02-2020 01:30:56,Channel News Asia
111,"In French Alpine village, families line up for coronavirus tests",https://www.channelnewsasia.com/news/world/wuhan-virus-coronavirus-france-briton-12414136,10-02-2020 00:00:47,Channel News Asia
112,China offers US$43b boost to firms fighting novel coronavirus,https://www.channelnewsasia.com/news/business/wuhan-virus-coronavirus-china-funds-12413792,09-02-2020 23:25:52,Channel News Asia
113,6 new coronavirus cases found on Japan cruise ship,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-japan-cruise-ship-12413680,09-02-2020 22:41:56,Channel News Asia
114,"Coronavirus outbreak: 3 new cases confirmed in Singapore, 4 more discharged",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-new-confirmed-cases-feb-9-12412622,09-02-2020 21:45:40,Channel News Asia
115,Fourth case of coronavirus found in UK; patient linked to Briton who had been in Singapore,https://www.channelnewsasia.com/news/world/wuhan-coronavirus-uk-new-confirmed-case-france-12413670,09-02-2020 21:34:51,Channel News Asia
116,"Manpower ministry revokes 4 work passes for Leave of Absence breaches, suspends employer privileges",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-loa-breach-work-pass-12413478,09-02-2020 20:21:30,Channel News Asia
117,"Church linked to possible coronavirus cluster engaged cleaning company to disinfect premises, will suspend meetings ",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-cluster-life-church-missions-12413396,09-02-2020 19:40:58,Channel News Asia
118,Thousands from cruise ship in Hong Kong freed after novel coronavirus tests,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-hong-kong-cruise-ship-12413294,09-02-2020 18:40:30,Channel News Asia
119,"More than 50% of Singapore households have picked up their masks, collection exercise extended",https://www.channelnewsasia.com/news/singapore/coronavirus-50-percent-households-collect-masks-extension-12413140,09-02-2020 17:46:09,Channel News Asia
120,Commentary: Working from home because of the coronavirus? Don't expect it to be paradise,https://www.channelnewsasia.com/news/commentary/wuhan-coronavirus-work-from-home-tips-best-practices-12413000,09-02-2020 17:04:13,Channel News Asia
121,"Malaysia confirms 17th coronavirus case, woman related to Singapore conference attendee",https://www.channelnewsasia.com/news/asia/coronavirus-malaysia-17th-case-grand-hyatt-conference-12412796,09-02-2020 16:58:32,Channel News Asia
122,Scientists race to develop vaccine for new coronavirus,https://www.channelnewsasia.com/news/world/scientists-race-to-develop-new-coronavirus-vaccine-12412654,09-02-2020 14:30:05,Channel News Asia
123,Singapore Airshow organiser to limit public day tickets amid coronavirus concerns,https://www.channelnewsasia.com/news/singapore/singapore-airshow-wuhan-virus-coronavirus-limit-tickets-12412662,09-02-2020 14:19:33,Channel News Asia
124,What we know about the 3 local transmission clusters of coronavirus,https://www.channelnewsasia.com/news/singapore/coronavirus-what-we-know-local-transmission-clusters-singapore-12412558,09-02-2020 12:47:48,Channel News Asia
125,"Return of 'sense of normalcy' observed at supermarkets and shops, say ministers",https://www.channelnewsasia.com/news/singapore/ntuc-fairprice-wuhan-virus-coronavirus-supermarket-shops-12412592,09-02-2020 12:41:33,Channel News Asia
126,"FairPrice imposes purchase limits for paper products, rice and instant noodles amid coronavirus outbreak",https://www.channelnewsasia.com/news/singapore/coronavirus-fairprice-purchase-limits-paper-rice-instant-noodles-12412538,09-02-2020 11:36:46,Channel News Asia
127,MAS reminds of vigilance against cyber threats taking advantage of coronavirus situation,https://www.channelnewsasia.com/news/singapore/mas-reminds-financial-institutions-to-remain-vigilant-against-12412508,09-02-2020 11:32:40,Channel News Asia
128,Second flight bringing Singaporeans from Wuhan lands; medical screening and quarantine for 174 passengers,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-second-scoot-flight-hubei-china-12412404,09-02-2020 09:22:06,Channel News Asia
129,NUS to implement e-learning for some classes amid coronavirus outbreak,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-nus-e-learning-classes-12411884,09-02-2020 08:02:17,Channel News Asia
130,China's coronavirus deaths surpass SARS as millions stagger back to work,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-death-toll-china-feb-9-12412246,09-02-2020 07:09:06,Channel News Asia
131,Novel coronavirus case numbers 'stabilising' in China: WHO,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-case-numbers-stabilising-12411952,09-02-2020 01:56:38,Channel News Asia
132,Head of WHO-led coronavirus probe team leaving for China ,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-investigation-team-china-12411850,09-02-2020 00:50:48,Channel News Asia
133,Grab suspends GrabShare services amid novel coronavirus outbreak,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-grab-grabshare-suspended-12411756,09-02-2020 00:15:21,Channel News Asia
134,"7 new coronavirus cases in Singapore, including taxi and private-hire drivers",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-moh-new-cases-taxi-driver-private-hire-12411656,08-02-2020 23:11:11,Channel News Asia
