index,headline,source_url,publish_date,publisher,crawl_type,Date
51,Rasa Sentosa hotel room where patient with Wuhan virus stayed has been disinfected and sealed,https://www.todayonline.com/singapore/rasa-sentosa-hotel-room-where-patient-wuhan-virus-stayed-has-been-disinfected-and-sealed,2020-24-01,Today Online,auto,2020-01-24
52,"Malaysia confirms 3 Wuhan virus cases, who are relatives of Singapore's first imported case",https://www.todayonline.com/world/health-minister-confirms-3-coronavirus-cases-malaysia,2020-25-01,Today Online,auto,2020-01-25
53,"Chinatown quieter this CNY amid Wuhan virus scare, but shopkeepers say business has been dwindling",https://www.todayonline.com/singapore/chinatown-quieter-year-shopkeepers-say-business-dwindling,2020-25-01,Today Online,auto,2020-01-25
54,Singapore must come together to respond to Wuhan virus: DPM Heng,https://www.todayonline.com/singapore/singapore-must-come-together-respond-wuhan-virus-dpm-heng,2020-25-01,Today Online,auto,2020-01-25
55,"Wuhan virus: Passengers, crew on Scoot flight from Singapore isolated in Hangzhou airport for health screening",https://www.todayonline.com/singapore/wuhan-virus-passengers-crew-scoot-flight-bound-singapore-isolated-hangzhou-airport-hours,2020-25-01,Today,manual,2020-01-25
56,"No new cases of Wuhan virus in Singapore, 64 suspected cases as of Jan 25 midday: MOH",https://www.todayonline.com/singapore/no-new-cases-wuhan-virus-singapore-64-suspected-cases-so-far-moh,2020-25-01,Today Online,auto,2020-01-25
57,"Scoot passengers isolated: Airline making arrangements to fly S'poreans, crew back from Hangzhou",https://www.todayonline.com/singapore/scoot-passengers-isolated-airline-making-arrangements-fly-singaporeans-crew-back-hangzhou,2020-25-01,Today Online,auto,2020-01-25
58,"Chinese New Year event organisers, religious authorities announce measures against Wuhan virus",https://www.todayonline.com/singapore/chinese-new-year-event-organisers-religious-authorities-announce-measures-against-wuhan,2020-25-01,Today Online,auto,2020-01-25
59,Wuhan virus: A timeline of how the deadly virus spread,https://www.todayonline.com/singapore/wuhan-virus-timeline-how-deadly-virus-spread,2020-26-01,Today Online,auto,2020-01-26
60,China bans wildlife trade nationwide due to coronavirus outbreak,https://www.todayonline.com/world/china-bans-wildlife-trade-nationwide-due-coronavirus-outbreak-0,2020-26-01,Today Online,auto,2020-01-26
61,Wuhan virus' ability to spread getting stronger,https://www.todayonline.com/world/more-2000-now-infected-coronavirus-56-dead-china-2,2020-26-01,Today Online,auto,2020-01-26
62,No new cases of Wuhan virus in Singapore; 92 suspect cases in total as of Jan 26 noon,https://www.todayonline.com/singapore/no-new-cases-wuhan-virus-singapore-92-suspect-cases-total-jan-26-noon,2020-26-01,Today Online,auto,2020-01-26
63,"4th Wuhan virus case: Village Hotel Sentosa staff sent to hospital, rooms which man, family stayed in blocked off",https://www.todayonline.com/singapore/4th-confirmed-wuhan-case-staff-village-hotel-sentosa-sent-hospital-room-guest-stayed,2020-26-01,Today Online,auto,2020-01-26
64,China's animal trade to spawn more viral outbreaks: Experts,https://www.todayonline.com/world/chinas-animal-trade-spawn-more-viral-outbreaks-experts,2020-26-01,Today Online,auto,2020-01-26
65,Studies show person infected with Wuhan virus passes it on to 2 to 3 others,https://www.todayonline.com/world/studies-show-person-infected-wuhan-virus-passes-it-2-3-others,2020-26-01,Today Online,auto,2020-01-26
66,4th confirmed case of Wuhan virus in Singapore: MOH,https://www.todayonline.com/singapore/4th-confirmed-case-wuhan-virus-singapore-moh,2020-26-01,Today Online,auto,2020-01-26
67,Police in Malaysia detain Chinese parents who escaped Johor hospital with coronavirus suspect kid,https://www.todayonline.com/world/police-malaysia-detain-chinese-parents-who-escaped-johor-hospital-coronavirus-suspect-kid,2020-26-01,Today Online,auto,2020-01-26
68,"In one Wuhan hospital, long lines, fear and frustration",https://www.todayonline.com/world/one-wuhan-hospital-long-lines-fear-and-frustration,2020-27-01,Today Online,auto,2020-01-27
69,"Singaporeans, cabin crew return from Hangzhou on Scoot relief flight, 15 under quarantine",https://www.todayonline.com/singapore/singaporeans-cabin-crew-return-hangzhou-scoot-relief-flight-15-under-quarantine,2020-27-01,Today Online,auto,2020-01-27
70,Chinese premier Li Keqiang visits city at epicentre of virus,https://www.todayonline.com/world/chinese-premier-li-keqiang-visits-city-epicentre-virus,2020-27-01,Today Online,auto,2020-01-27
71,China extends holiday to buy time as virus keeps spreading,https://www.todayonline.com/world/china-extends-holiday-buy-time-virus-keeps-spreading,2020-27-01,Today Online,auto,2020-01-27
72,"Wuhan virus: No ban on travellers from China at the moment, as Govt cautions against overreacting",https://www.todayonline.com/singapore/wuhan-virus-no-ban-china-travellers-moment-govt-cautions-against-overreacting,2020-27-01,Today Online,auto,2020-01-27
73,"Malaysia puts temporary ban on visitors from Wuhan, Hubei",https://www.todayonline.com/world/malaysia-puts-temporary-ban-visitors-wuhan-hubei-0,2020-27-01,Today,manual,2020-01-27
74,"China death toll spikes to 81, over 2,700 cases confirmed",https://www.todayonline.com/world/china-death-toll-spikes-80-over-2700-cases-confirmed,2020-27-01,Today Online,auto,2020-01-27
75,"Wuhan virus: Some workers, students returning to Singapore from China will have to take mandated 14-day leave of absence",https://www.todayonline.com/singapore/wuhan-virus-workers-students-returning-china-will-have-take-14-day-leave-absence,2020-27-01,Today Online,auto,2020-01-27
76,"Wuhan virus: Government will not hesitate to use Pofma on fake news regarding viral outbreak, says Iswaran",https://www.todayonline.com/singapore/wuhan-virus-government-will-not-hesitate-use-pofma-fake-news-regarding-viral-outbreak-says,2020-27-01,Today Online,auto,2020-01-27
77,Anger mounts over Chinese government response at epidemic epicentre,https://www.todayonline.com/world/anger-mounts-over-government-response-epidemic-epicentre,2020-27-01,Today Online,auto,2020-01-27
78,Pofma Office issues correction notice to SPH Magazines over HardwareZone Forum post on Wuhan virus,https://www.todayonline.com/singapore/pofma-office-issues-correction-notice-sph-magazines-over-hardwarezone-forum-post-wuhan,2020-27-01,Today,manual,2020-01-27
79,2 more confirmed cases of Wuhan virus in S’pore; new visitors who have recently been to Hubei barred from Jan 29,https://www.todayonline.com/singapore/visitors-who-have-been-hubei-over-last-14-days-barred-entering-or-transiting-singapore,2020-28-01,Today Online,auto,2020-01-28
80,"Wuhan virus: Preschools step up defences, parents largely assured",https://www.todayonline.com/singapore/wuhan-virus-preschools-step-defences-parents-largely-assured,2020-28-01,Today Online,auto,2020-01-28
81,S’poreans must be prepared for Wuhan virus spreading in the community: PM Lee,https://www.todayonline.com/singapore/sporeans-must-be-prepared-wuhan-virus-spread-community-pm-lee,2020-28-01,Today Online,auto,2020-01-28
82,Singapore confirms 5th case of Wuhan virus,https://www.todayonline.com/singapore/singapore-confirms-5th-case-wuhan-virus,2020-28-01,Today Online,auto,2020-01-28
83,From a DIY show in Geylang to Paris Fashion Week: How a local youth label made it big,https://www.todayonline.com/singapore/diy-show-geylang-paris-fashion-week-how-local-youth-label-made-it-big,2020-28-01,Today,manual,2020-01-28
84,Experts say China virus outbreak will last months at least,https://www.todayonline.com/world/experts-say-china-virus-outbreak-will-last-months-least,2020-28-01,Today,manual,2020-01-28
85,Chinese embassy wants Danish paper to apologise for coronavirus cartoon,https://www.todayonline.com/world/chinese-embassy-wants-danish-paper-apologise-coronavirus-cartoon-0,2020-28-01,Today,manual,2020-01-28
86,Coronavirus outbreak could peak in ten days: Chinese expert,https://www.todayonline.com/world/who-says-china-virus-evacuations-not-needed-report,2020-28-01,Today,manual,2020-01-28
87,Hong Kong slashes border crossings with China over virus,https://www.todayonline.com/world/hong-kong-slashes-border-crossings-china-over-virus,2020-28-01,Today,manual,2020-01-28
88,A divided Hong Kong confronts the arrival of the coronavirus,https://www.todayonline.com/world/divided-hong-kong-confronts-arrival-coronavirus,2020-29-01,Today,manual,2020-01-29
89,China police drop case of SARS 'rumour-mongering' at start of new crisis,https://www.todayonline.com/world/china-police-drop-case-sars-rumour-mongering-start-new-crisis-0,2020-29-01,Today Online,auto,2020-01-29
90,"No hot meals, blankets, magazines as airlines step up fight on virus",https://www.todayonline.com/world/no-hot-meals-blankets-magazines-airlines-step-fight-virus-1,2020-29-01,Today Online,auto,2020-01-29
91,Live from Wuhan: Millions tune in to watch China build coronavirus hospitals,https://www.todayonline.com/world/live-wuhan-millions-tune-watch-china-build-coronavirus-hospitals,2020-29-01,Today Online,auto,2020-01-29
