index,headline,source_url,publish_date,publisher,crawl_type
63,"Morning brief: Wuhan coronavirus update for Jan 31, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-jan-_31-2020/,31/01/2020,The Independent Singapore,manual
64,Govt will foot hospital bills for locals who have contracted the coronavirus,http://theindependent.sg/govt-will-foot-hospital-bills-for-locals-who-have-contracted-the-coronavirus,31/01/2020,The Independent Singapore,manual
65,"US declares virus ’emergency,’ bans travelers from China",http://theindependent.sg/us-declares-virus-emergency-bans-travelers-from-china,01/02/2020,The Independent Singapore,manual
66,China’s isolation grows as virus toll reaches 259,http://theindependent.sg/chinas-isolation-grows-as-virus-toll-reaches-259/,01/02/2020,The Independent Singapore,manual
67,"Online, jetsetting and monitored: How life in China has changed since SARS",http://theindependent.sg/online-jetsetting-and-monitored-how-life-in-china-has-changed-since-sars,01/02/2020,The Independent Singapore,manual
68,Wuhan girl left heartbroken after mother dies of coronavirus on CNY,http://theindependent.sg/wuhan-girl-left-heartbroken-after-mother-dies-of-coronavirus-on-cny,01/02/2020,The Independent Singapore,manual
69,Angelababy and husband donate more money after criticism from netizens,http://theindependent.sg/angelababy-and-husband-donate-more-money-after-criticism-from-netizens,01/02/2020,The Independent Singapore,manual
70,Chan Chun Sing: Hoarding masks will “destroy the system”,http://theindependent.sg/chan-chun-sing-hoarding-masks-will-destroy-the-system,01/02/2020,The Independent Singapore,manual
71,"PM Lee visits NCID, thanks staff for their work during Wuhan virus outbreak",http://theindependent.sg/pm-lee-visits-ncid-thanks-staff-for-their-work-during-wuhan-virus-outbreak,01/02/2020,The Independent Singapore,manual
72,Janil Puthucheary: ‘Don’t open and use the pack with 4 masks right away’,http://theindependent.sg/janil-puthucheary-dont-open-and-use-the-pack-with-4-masks-right-away,01/02/2020,The Independent Singapore,manual
73,China flying its Wuhan citizens overseas back home,http://theindependent.sg/china-flying-its-wuhan-citizens-overseas-back-home,01/02/2020,The Independent Singapore,manual
74,"JJ Lin, Stefanie Sun produce song to cheer up those affected by Wuhan virus",http://theindependent.sg/jj-lin-stefanie-sun-produce-song-to-cheer-up-those-affected-by-wuhan-virus,01/02/2020,The Independent Singapore,manual
