index,headline                                                                                                                          ,source_url                                                                                           ,publish_date,publisher
73   ,Coronavirus: Ripple effect felt by Singapore's building sector                                                                    ,/business/companies-markets/ripple-effect-felt-by-spores-building-sector                             ,2020-02-10  ,The Straits Times
74   ,"Coronavirus: Singapore manufacturers worry over production, shipment delays"                                                     ,/business/companies-markets/production-shipment-delays-hit-manufacturers                             ,2020-02-10  ,The Straits Times
75   ,"Coronavirus outbreak is reminder to world that diversification of suppliers, markets is critical"                                ,/asia/reminder-to-world-that-diversification-of-suppliers-and-markets-is-critical                    ,2020-02-10  ,The Straits Times
76   ,Many report steep drop in their earnings                                                                                          ,/singapore/transport/many-report-steep-drop-in-their-earnings                                        ,2020-02-10  ,The Straits Times
77   ,FairPrice imposes purchase limits to curb stockpiling                                                                             ,/singapore/health/fairprice-imposes-purchase-limits-to-curb-stockpiling                              ,2020-02-10  ,The Straits Times
78   ,Steps in place to secure Singapore's essential food supplies: Chan Chun Sing                                                      ,/singapore/steps-in-place-to-secure-spores-essential-food-supplies-chan                              ,2020-02-10  ,The Straits Times
79   ,"Spreading information prematurely could cause confusion, alarm: Chan Chun Sing"                                                  ,/singapore/spreading-information-prematurely-could-cause-confusion-alarm-chan                        ,2020-02-10  ,The Straits Times
80   ,"Coronavirus deaths cross 800 in China, surpassing global Sars toll"                                                              ,/asia/east-asia/coronavirus-deaths-cross-800-in-china-surpassing-global-sars-toll                    ,2020-02-10  ,The Straits Times
81   ,"Cabbies, private-hire drivers worry about protection"                                                                            ,/singapore/cabbies-private-hire-drivers-worry-about-protection                                       ,2020-02-10  ,The Straits Times
82   ,"Advisory issued to maids, employers on rest-day arrangements"                                                                    ,/singapore/advisory-issued-to-maids-employers-on-rest-day-arrangements                               ,2020-02-10  ,The Straits Times
83   ,Coronavirus: Singapore fashion retailers face supply issues                                                                       ,/business/companies-markets/spore-fashion-retailers-face-supply-issues                               ,2020-02-10  ,The Straits Times
84   ,"No spike in Singaporean shoppers, say those in JB"                                                                               ,/singapore/health/no-spike-in-singaporean-shoppers-say-those-in-jb                                   ,2020-02-10  ,The Straits Times
85   ,Second flight to evacuate S'poreans in Wuhan returns                                                                              ,/singapore/second-flight-to-evacuate-sporeans-in-wuhan-returns                                       ,2020-02-10  ,The Straits Times
86   ,Chinese celebrity couple slammed for 'stingy' donation                                                                            ,/lifestyle/entertainment/chinese-celebrity-couple-slammed-for-stingy-donation                        ,2020-02-10  ,The Straits Times
87   ,"No hot scenes on TV please, there's a virus"                                                                                     ,/lifestyle/entertainment/no-hot-scenes-on-tv-please-theres-a-virus                                   ,2020-02-10  ,The Straits Times
88   ,Coronavirus: Should you wear a mask?                                                                                              ,/lifestyle/should-you-wear-a-mask                                                                    ,2020-02-10  ,The Straits Times
89   ,Coronavirus: WHO advance team en route to China                                                                                   ,/asia/east-asia/coronavirus-who-advance-team-en-route-to-china                                       ,2020-02-10  ,The Straits Times
90   ,Coronavirus: Two new cases reported in Britain and Spain had link to French ski resort                                            ,/world/europe/coronavirus-two-new-cases-reported-in-britain-and-spain-had-link-to-french-ski-resort  ,2020-02-10  ,The Straits Times
91   ,Coronavirus: Fallout from Singapore conference spreads across Europe                                                              ,/world/europe/coronavirus-fallout-from-singapore-conference-spreads-across-europe                    ,2020-02-09  ,The Straits Times
92   ,"Forum: Help needed for small firms, individuals with credit woes"                                                                ,/forum/forum-help-needed-for-small-firms-individuals-with-credit-woes                                ,2020-02-09  ,The Straits Times
93   ,Forum: Inspections stepped up to ensure public toilets are kept clean                                                             ,/forum/forum-inspections-stepped-up-to-ensure-public-toilets-are-kept-clean                          ,2020-02-09  ,The Straits Times
94   ,Forum: Stay strong and united in current difficulties                                                                             ,/forum/forum-stay-strong-and-united-in-current-difficulties                                          ,2020-02-09  ,The Straits Times
95   ,"3 new coronavirus cases in S'pore, including 71-year-old grandfather; 4 more recovered, 6 in critical condition in ICU"          ,/singapore/coronavirus-singapore-confirms-3-more-coronavirus-cases-including-71-year-old-grandfather ,2020-02-09  ,The Straits Times
96   ,China says it has spent $6.2 billion to fight virus outbreak                                                                      ,/asia/east-asia/china-says-it-has-spent-62-billion-to-fight-virus-outbreak                           ,2020-02-09  ,The Straits Times
97   ,"Coronavirus: Panic buying reported in Johor Baru but Singapore crowds there 'normal', say shoppers"                              ,/singapore/health/coronavirus-panic-buying-reported-in-johor-baru-but-singapore-crowds-there-normal  ,2020-02-09  ,The Straits Times
98   ,Six new coronavirus cases found on Japan cruise ship                                                                              ,/asia/east-asia/six-new-coronavirus-cases-found-on-japan-cruise-ship                                 ,2020-02-09  ,The Straits Times
99   ,In Pictures: Medical staff providing treatment for coronavirus patients in hospitals in Wuhan                                     ,/multimedia/photos/in-pictures-medical-staff-providing-treatment-for-coronavirus-patients-in         ,2020-02-09  ,The Straits Times
100  ,"S'pore bans work pass holders, suspends employers' privileges over LOA breach"                                                   ,/singapore/coronavirus-4-work-pass-holders-repatriated-and-6-employers-suspended-from-work-pass      ,2020-02-09  ,The Straits Times
101  ,"Coronavirus in Singapore: Of the 45 cases so far, local cases exceed imported ones"                                              ,/singapore/health/novel-coronavirus-cases-in-singapore                                               ,2020-02-09  ,The Straits Times
102  ,Coronavirus: Nine members of Hong Kong family feared infected after sharing hotpot meal                                           ,/asia/east-asia/coronavirus-nine-members-of-hong-kong-family-feared-infected-after-sharing-hotpot    ,2020-02-09  ,The Straits Times
103  ,Coronavirus: Chinese celebrity couple Deng Chao and Sun Li slammed for 'stingy' donation                                          ,/lifestyle/entertainment/coronavirus-chinese-celebrity-couple-deng-chao-and-sun-li-slammed-for-stingy,2020-02-09  ,The Straits Times
104  ,Thousands from cruise ship in Hong Kong freed after virus tests                                                                   ,/asia/east-asia/thousands-from-cruise-ship-in-hong-kong-freed-after-virus-tests                      ,2020-02-09  ,The Straits Times
105  ,Coronavirus: Taiwanese TV serials cut kissing scenes to prevent spread of virus                                                   ,/lifestyle/entertainment/coronavirus-taiwanese-tv-serials-cut-kissing-scenes-to-prevent-spread-of    ,2020-02-09  ,The Straits Times
106  ,How Singapore linked 3 unrelated local infections to 2 China visitors                                                             ,/singapore/health/how-singapore-linked-3-unrelated-local-infections-to-2-china-visitors              ,2020-02-09  ,The Straits Times
107  ,"China coronavirus putting more pressure on pork supplies, prices"                                                                ,/asia/east-asia/china-coronavirus-putting-more-pressure-on-pork-supplies-prices                      ,2020-02-09  ,The Straits Times
108  ,"Wuhan lockdown could have led to more infections; outbreak might spike end-February, says expert"                                ,/asia/east-asia/coronavirus-wuhan-lockdown-could-have-led-to-more-infections-outbreak-might-spike-end,2020-02-09  ,The Straits Times
